day,hr_min,hr_max,rhr,stress_avg,step_goal,steps,moderate_activity_time,vigorous_activity_time,intensity_time_goal,floors_up,floors_down,floors_goal,distance,calories_goal,calories_total,calories_bmr,calories_active,calories_consumed,hydration_goal,hydration_intake,sweat_loss,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_charged,bb_max,bb_min,description
2020-02-16,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-17,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-18,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-19,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-20,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-21,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-22,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-23,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-24,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-25,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-26,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-27,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-28,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-02-29,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-01,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-02,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-03,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-04,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-05,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-06,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-07,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-08,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-09,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-10,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-11,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-12,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-13,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-14,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-15,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-16,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-17,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-18,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-19,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-20,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-21,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-22,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-23,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-24,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-25,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-26,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-27,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-28,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-29,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-30,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-03-31,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-01,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-02,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
2020-04-03,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,,,,,,,,,,2800,,,,,,,,,,,
