day,hr_avg,hr_min,hr_max,rhr_avg,rhr_min,rhr_max,inactive_hr_avg,inactive_hr_min,inactive_hr_max,weight_avg,weight_min,weight_max,intensity_time,moderate_activity_time,vigorous_activity_time,intensity_time_goal,steps,steps_goal,floors,floors_goal,sleep_avg,sleep_min,sleep_max,rem_sleep_avg,rem_sleep_min,rem_sleep_max,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_goal,calories_consumed_avg,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,hydration_intake,sweat_loss_avg,sweat_loss,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2022-02-20,85.11607142857143,57.0,122.0,66.0,66.0,66.0,82.58333333333333,67.0,104.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,3368.0,10000,5.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,50.0,2345,2023,322,,,,,,2800,,,,,,,,,,,
2022-02-21,83.94133697135061,51.0,149.0,60.0,60.0,60.0,82.77777777777777,65.0,108.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,8616.0,10000,10.54954,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,42.0,2571,2023,548,,,,,,2800,,,,,,,,,,,
2022-02-22,83.93315858453474,57.0,138.0,67.0,67.0,67.0,77.0,61.0,99.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,7791.0,10000,3.18865,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,52.0,2605,2023,582,,,,,,2800,,,,,,,,,,,
2022-02-23,85.62922868741542,48.0,138.0,71.0,71.0,71.0,79.16666666666667,69.0,104.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,8480.0,10000,9.41076,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,56.0,2556,2023,533,,,,,,2800,,,,,,,,,,,
2022-02-24,92.73377483443709,58.0,175.0,70.0,70.0,70.0,84.33333333333333,72.0,108.0,,,,00:31:00.000000,00:07:00.000000,00:12:00.000000,00:21:25,11160.0,10000,9.0292,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,60.0,2942,2023,919,,,,,,2800,,,,,,,,,,,
2022-02-25,86.92,58.0,134.0,69.0,69.0,69.0,83.46666666666667,66.0,106.0,,,,00:11:00.000000,00:11:00.000000,00:00:00.000000,00:21:25,7569.0,10000,7.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,51.0,2759,2023,736,,,,,,2800,,,,,,,,,,,
2022-02-26,87.3166926677067,53.0,147.0,63.0,63.0,63.0,80.61538461538461,57.0,113.0,,,,00:40:00.000000,00:40:00.000000,00:00:00.000000,00:21:25,7249.0,10000,28.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,51.0,2646,2023,623,,,,,,2800,,,,,,,,,,,
2022-02-27,89.23162134944613,56.0,153.0,64.0,64.0,64.0,85.6,71.0,111.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,5509.0,10000,20.57513,10.0,05:49:00.000000,05:49:00.000000,05:49:00.000000,01:49:00.000000,01:49:00.000000,01:49:00.000000,64.0,2745,2023,722,,,,,,2800,,,,,,,,,,,
2022-02-28,86.47311827956989,45.0,146.0,57.0,57.0,57.0,73.625,45.0,89.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,13014.0,10000,9.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,48.0,2695,2023,672,,,,,,2800,,,,,,,,,,,
2022-03-01,84.92503748125937,53.0,148.0,63.0,63.0,63.0,83.86666666666666,73.0,105.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,6435.0,10000,10.61483,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,64.0,2538,2023,515,,,,,,2800,,,,,,,,,,,
2022-03-02,88.23125996810208,56.0,157.0,63.0,63.0,63.0,72.91666666666667,56.0,86.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,6424.0,10000,12.06496,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,68.0,2549,2023,526,,,,,,2800,,,,,,,,,,,
2022-03-03,83.94548551959114,49.0,129.0,57.0,57.0,57.0,98.46153846153847,69.0,113.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,6179.0,10000,8.73688,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,50.0,1883,1476,407,,,,,,2800,,,,,,,,,,,
2022-03-05,,,,,,,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,15.0,10000,0.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,-1.0,2024,2023,1,,,,,,2800,,,,,,,,,,,
2022-03-06,84.52879581151832,63.0,120.0,72.0,72.0,72.0,81.11764705882354,70.0,101.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,5652.0,10000,0.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,49.0,2462,2023,439,,,,,,2800,,,,,,,,,,,
2022-03-07,88.81521739130434,52.0,138.0,62.0,62.0,62.0,83.2,66.0,113.0,,,,00:50:00.000000,00:16:00.000000,00:17:00.000000,00:21:25,6288.0,10000,2.50951,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,56.0,2697,2023,674,,,,,,2800,,,,,,,,,,,
2022-03-08,67.0,67.0,67.0,67.0,67.0,67.0,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,0.0,10000,0.0,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,-1.0,2023,2023,0,,,1.0,0.0,0.0,2800,,,,,,,,,,,
2022-03-09,93.91111111111111,66.0,119.0,66.0,66.0,66.0,,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,2503.0,10000,1.38353,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,57.0,2151,2023,128,,,,,,2800,,,,,,,,,,,
2022-03-10,86.22458628841608,46.0,147.0,66.0,66.0,66.0,79.76666666666667,50.0,116.0,,,,00:16:00.000000,00:04:00.000000,00:06:00.000000,00:21:25,9967.0,10000,17.67159,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,43.0,2879,2023,856,,,,,,2800,,,,,,,,,,,
2022-03-11,92.44312796208531,51.0,151.0,60.0,60.0,60.0,91.42857142857143,70.0,111.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,10097.0,10000,17.02034,10.0,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,68.0,3137,2023,1114,,,,,,2800,,,,,,,,,,,
2022-03-12,84.43592814371257,59.0,127.0,67.0,67.0,67.0,83.30909090909091,59.0,119.0,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:21:25,3748.0,10000,4.23491,10.0,05:45:00.000000,05:45:00.000000,05:45:00.000000,00:43:00.000000,00:43:00.000000,00:43:00.000000,58.0,2473,2023,450,,,,,,2800,,,,,,,,,,,
